date,open,high,low,close,volume,range,average,single_day_change,day_to_day_change,12 day ema,26 day ema,volume ema,52 week volume average,52 day high,52 week high,52 day low,52 week low,52 day average,52 week average,52 day standard deviation,52 week standard deviation
1999-11-18,45.5,50.0,40.0,44.0,44739900,10.0,44.666666666666664,1.5,0.0,44.666666666666664,44.666666666666664,44739900.0,44739900.0,50.0,50.0,40.0,40.0,44.0,44.0,0.0,0.0
1999-11-19,42.94,43.0,39.81,40.38,10897100,3.1899999999999977,41.06333333333333,2.559999999999995,-3.6199999999999974,44.12616666666666,44.39641666666667,43047760.0,44739900.0,50.0,50.0,39.81,39.81,42.19,42.19,1.8099999999999987,1.8099999999999987
1999-11-22,41.31,44.0,40.06,44.0,4705200,3.9399999999999977,42.68666666666667,-2.6899999999999977,3.6199999999999974,43.910241666666664,44.268185416666675,41130632.0,27818500.0,50.0,50.0,39.81,39.81,42.79333333333333,42.79333333333333,1.7064843652635335,1.7064843652635335
1999-11-23,42.5,43.63,40.25,40.25,4274400,3.3800000000000026,41.376666666666665,2.25,-3.75,43.53020541666666,44.05132151041668,39287820.4,20114066.666666668,50.0,50.0,39.81,39.81,42.1575,42.1575,1.8430731808585348,1.8430731808585348
1999-11-24,40.13,41.94,40.0,41.06,3464400,1.9399999999999977,41.0,-0.9299999999999997,0.8100000000000023,43.15067460416666,43.822472397135435,37496649.379999995,16154150.0,50.0,50.0,39.81,39.81,41.938,41.938,1.7059472442018826,1.7059472442018826
1999-11-26,40.88,41.5,40.75,41.19,1237100,0.75,41.14666666666667,-0.30999999999999517,0.12999999999999545,42.85007341354166,43.621786967350275,35683671.91099999,13616200.0,50.0,50.0,39.81,39.81,41.81333333333333,41.81333333333333,1.5820626480080429,1.5820626480080429
1999-11-29,41.0,42.44,40.56,42.13,2914700,1.8799999999999955,41.71,-1.1300000000000026,0.9400000000000048,42.679062401510414,43.47840294479901,34045223.31544999,11553016.666666666,50.0,50.0,39.81,39.81,41.85857142857143,41.85857142857143,1.4688910158097264,1.4688910158097264
1999-11-30,42.0,42.94,40.94,42.19,3083000,2.0,42.02333333333333,-0.18999999999999773,0.05999999999999517,42.580703041283854,43.36927272393908,32497112.14967749,10318971.42857143,50.0,50.0,39.81,39.81,41.9,41.9,1.3783867381834458,1.3783867381834458
1999-12-01,42.19,43.44,41.88,42.94,2115400,1.5599999999999952,42.75333333333333,-0.75,0.75,42.60659758509127,43.323077269643655,30978026.542193614,9414475.0,50.0,50.0,39.81,39.81,42.01555555555555,42.01555555555555,1.3400257966929097,1.3400257966929097
1999-12-02,43.75,45.0,43.19,44.13,2195900,1.8100000000000023,44.10666666666666,-0.38000000000000256,1.1900000000000048,42.83160794732758,43.381846474420385,29538920.21508393,8603466.666666666,50.0,50.0,39.81,39.81,42.227,42.227,1.420732557520943,1.420732557520943
1999-12-03,44.94,45.69,44.31,44.5,2175700,1.3799999999999955,44.833333333333336,0.4399999999999977,0.36999999999999744,43.131866755228444,43.49070798883886,28170759.204329733,7962710.0,50.0,50.0,39.81,39.81,42.43363636363636,42.43363636363636,1.5039842402902104,1.5039842402902104
1999-12-06,45.25,46.44,45.19,45.75,1610000,1.25,45.79333333333333,-0.5,1.25,43.53108674194418,43.663404889675945,26842721.244113244,7436618.181818182,50.0,50.0,39.81,39.81,42.71,42.71,1.7069319455287801,1.7069319455287801
1999-12-07,45.75,46.0,44.31,45.25,1585100,1.6899999999999977,45.18666666666667,0.5,-0.5,43.77942373065255,43.777649522950256,25579840.18190758,6951066.666666667,50.0,50.0,39.81,39.81,42.90538461538461,42.90538461538461,1.7741460150845072,1.7741460150845072
1999-12-08,45.25,45.63,44.81,45.19,1350400,0.8200000000000003,45.21,0.060000000000002274,-0.060000000000002274,43.99401017105467,43.885075808728985,24368368.172812197,6538300.0,50.0,50.0,39.81,39.81,43.06857142857143,43.06857142857143,1.8080251939729202,1.8080251939729202
1999-12-09,45.25,45.94,45.25,45.81,1451400,0.6899999999999977,45.666666666666664,-0.5600000000000023,0.6200000000000045,44.24490864539647,44.01869512307431,23222519.764171585,6167735.714285715,50.0,50.0,39.81,39.81,43.251333333333335,43.251333333333335,1.8758069078547384,1.8758069078547384
1999-12-10,45.69,45.94,44.75,44.75,1190800,1.1899999999999977,45.14666666666667,0.9399999999999977,-1.0600000000000023,44.380172348586996,44.10329298884374,22120933.775963005,5853313.333333333,50.0,50.0,39.81,39.81,43.345,43.345,1.8521170319393965,1.8521170319393965
1999-12-13,45.5,46.25,44.38,45.5,2875900,1.8699999999999974,45.376666666666665,0.0,0.75,44.529646496298945,44.19879601468046,21158682.087164853,5561906.25,50.0,50.0,39.81,39.81,43.47176470588235,43.47176470588235,1.866992659786187,1.866992659786187
1999-12-14,45.38,45.38,42.06,43.0,1665900,3.3200000000000003,43.48,2.3800000000000026,-2.5,44.3721995218541,44.144886313579434,20184042.982806608,5403905.882352941,50.0,50.0,39.81,39.81,43.44555555555556,43.44555555555556,1.817605941348314,1.817605941348314
1999-12-15,42.0,42.31,41.0,41.69,2087100,1.3100000000000023,41.666666666666664,0.3100000000000023,-1.3100000000000023,43.96636959357598,43.959019840060975,19279195.833666276,5196238.888888889,50.0,50.0,39.81,39.81,43.353157894736846,43.353157894736846,1.8120388418968663,1.8120388418968663
1999-12-16,42.0,48.0,42.0,47.25,1848300,6.0,45.75,-5.25,5.560000000000002,44.23391415453958,44.0933433520564,18407651.04198296,5032600.0,50.0,50.0,39.81,39.81,43.548,43.548,1.9597489635154806,1.9597489635154806
1999-12-17,46.38,47.12,45.44,45.94,2652400,1.6799999999999997,46.166666666666664,0.44000000000000483,-1.3100000000000023,44.52382703135864,44.248842600652175,17619888.48988381,4873385.0,50.0,50.0,39.81,39.81,43.661904761904765,43.661904761904765,1.979195649626669,1.979195649626669
1999-12-20,46.25,46.94,46.13,46.88,856100,0.8099999999999952,46.65,-0.6300000000000026,0.9400000000000048,44.84275297665485,44.42892940560326,16781699.06538962,4767623.80952381,50.0,50.0,39.81,39.81,43.80818181818182,43.80818181818182,2.046581709635576,2.046581709635576
1999-12-21,46.69,46.69,46.0,46.63,1616200,0.6899999999999977,46.44,0.05999999999999517,-0.25,45.08234003015662,44.57975970018302,16023424.112120137,4589827.2727272725,50.0,50.0,39.81,39.81,43.93086956521739,43.93086956521739,2.0826757727239054,2.0826757727239054
1999-12-22,46.63,47.56,46.31,47.56,1363200,1.25,47.14333333333334,-0.9299999999999997,0.9299999999999997,45.39148902563313,44.77202772266929,15290412.906514129,4460539.130434782,50.0,50.0,39.81,39.81,44.08208333333332,44.08208333333332,2.1639585238759906,2.1639585238759906
1999-12-23,47.5,50.0,47.44,49.75,1544700,2.5600000000000023,49.06333333333333,-2.25,2.1899999999999977,45.94226567178816,45.0938756434691,14603127.261188421,4331483.333333333,50.0,50.0,39.81,39.81,44.30879999999999,44.30879999999999,2.393536830717255,2.393536830717255
1999-12-27,49.94,53.19,49.56,52.81,1451800,3.6299999999999955,51.85333333333333,-2.8700000000000045,3.0600000000000023,46.82892582101993,45.60083497020892,13945560.898129,4220012.0,50.0,50.0,39.81,39.81,44.63576923076922,44.63576923076922,2.8603135560727004,2.8603135560727004
1999-12-28,54.25,61.5,53.94,61.5,2546500,7.560000000000002,58.98,-7.25,8.689999999999998,48.65158694786694,46.60427234744325,13375607.853222549,4113542.3076923075,53.19,53.19,39.81,39.81,45.26037037037036,45.26037037037036,4.245193780405809,4.245193780405809
1999-12-29,63.0,79.06,62.94,72.0,7524000,16.120000000000005,71.33333333333333,-9.0,10.5,52.05384890568689,48.45895192138501,13083027.46056142,4055503.703703704,61.5,61.5,39.81,39.81,46.21535714285714,46.21535714285714,6.480897469896135,6.480897469896135
1999-12-30,76.0,80.0,74.25,79.25,4771900,5.75,77.83333333333333,-3.25,7.25,55.92077156983385,50.66203052728113,12667471.08753335,4179378.5714285714,79.06,79.06,39.81,39.81,47.354482758620684,47.354482758620684,8.768505391537765,8.768505391537765
1999-12-31,79.5,79.94,76.25,77.31,1381400,3.6899999999999977,77.83333333333333,2.1899999999999977,-1.9399999999999977,59.20765583435877,52.69987823773505,12103167.533156682,4199810.344827586,80.0,80.0,39.81,39.81,48.35299999999999,48.35299999999999,10.160603377752722,10.160603377752722
2000-01-03,78.75,78.94,67.38,72.0,3343600,11.560000000000002,72.77333333333333,6.75,-5.310000000000002,61.24250745920495,54.20538736990492,11665189.156498848,4105863.3333333335,80.0,80.0,39.81,39.81,49.11580645161289,49.11580645161289,10.83345826123971,10.83345826123971
2000-01-04,68.13,68.88,64.75,66.5,3408500,4.1299999999999955,66.71,1.6299999999999955,-5.5,62.0626313403242,55.14323331716206,11252354.698673904,4081274.193548387,80.0,80.0,39.81,39.81,49.659062500000005,49.659062500000005,11.083552668079571,11.083552668079571
2000-01-05,66.25,66.31,61.31,61.56,4119200,5.0,63.06,4.689999999999998,-4.939999999999998,62.212236639275574,55.736990818374906,10895696.96374021,4060250.0,80.0,80.0,39.81,39.81,50.01969696969697,50.01969696969697,11.103350432066149,11.103350432066149
2000-01-06,61.63,62.0,58.13,60.0,1812900,3.8699999999999974,60.04333333333333,1.6300000000000026,-1.5600000000000023,61.886901143384236,56.059966506996794,10441557.115553198,4062036.3636363638,80.0,80.0,39.81,39.81,50.313235294117646,50.313235294117646,11.068053848959185,11.068053848959185
2000-01-07,59.06,65.94,59.0,65.0,2016900,6.939999999999998,63.31333333333333,-5.939999999999998,5.0,62.1008659718766,56.60396901897204,10020324.259775538,3995885.294117647,80.0,80.0,39.81,39.81,50.73285714285714,50.73285714285714,11.179828665037398,11.179828665037398
2000-01-10,69.0,69.63,67.56,68.94,1536800,2.069999999999993,68.71,0.060000000000002274,3.9399999999999977,63.09223607609511,57.51192134254914,9596148.04678676,3939342.8571428573,80.0,80.0,39.81,39.81,51.23861111111111,51.23861111111111,11.422312023398614,11.422312023398614
2000-01-11,68.94,68.94,66.44,68.0,1327600,2.5,67.79333333333334,0.9399999999999977,-0.9399999999999977,63.79740066468085,58.28302724185795,9182720.644447422,3872605.5555555555,80.0,80.0,39.81,39.81,51.69162162162163,51.69162162162163,11.59012009673885,11.59012009673885
2000-01-12,68.0,68.0,64.06,66.63,1022800,3.9399999999999977,66.23,1.3700000000000045,-1.3700000000000045,64.16229056497872,58.87905019871861,8774724.61222505,3803821.621621622,80.0,80.0,39.81,39.81,52.08473684210527,52.08473684210527,11.683913082984995,11.683913082984995
2000-01-13,68.38,69.81,66.0,67.63,811400,3.8100000000000023,67.81333333333333,0.75,1.0,64.7099469802319,59.54912143381471,8376558.3816137975,3730636.8421052634,80.0,80.0,39.81,39.81,52.48333333333334,52.48333333333334,11.791983659778309,11.791983659778309
2000-01-14,67.0,69.38,67.0,68.38,942000,2.3799999999999955,68.25333333333333,-1.3799999999999955,0.75,65.24145493319712,60.20193732627861,8004830.462533107,3655784.6153846155,80.0,80.0,39.81,39.81,52.88075,52.88075,11.905220154936236,11.905220154936236
2000-01-18,68.63,72.88,68.13,71.5,1503400,4.75,70.83666666666666,-2.8700000000000045,3.1200000000000045,66.08073669321755,60.99954202680772,7679758.939406452,3587940.0,80.0,80.0,39.81,39.81,53.33487804878049,53.33487804878049,12.104818254939968,12.104818254939968
2000-01-19,72.0,72.0,69.81,70.0,1877600,2.1899999999999977,70.60333333333334,2.0,-1.5,66.75912618923492,61.719826374797144,7389650.992436129,3537097.56097561,80.0,80.0,39.81,39.81,53.73166666666667,53.73166666666667,12.226732405571829,12.226732405571829
2000-01-20,70.75,70.88,67.5,68.13,1436300,3.3799999999999955,68.83666666666666,2.6200000000000045,-1.8700000000000045,67.07075726084967,62.25358939668736,7091983.442814322,3497585.714285714,80.0,80.0,39.81,39.81,54.066511627906976,54.066511627906976,12.277031093974752,12.277031093974752
2000-01-21,69.13,69.38,66.44,68.75,1372200,2.9399999999999977,68.19,0.37999999999999545,0.6200000000000045,67.23864367172222,62.69882019193581,6805994.270673606,3449648.8372093025,80.0,80.0,39.81,39.81,54.40022727272728,54.40022727272728,12.332422988469416,12.332422988469416
2000-01-24,68.5,71.81,68.0,68.5,1499200,3.8100000000000023,69.43666666666667,0.0,-0.25,67.56834712096388,63.204158677540626,6540654.557139925,3402434.090909091,80.0,80.0,39.81,39.81,54.71355555555556,54.71355555555556,12.370472577976523,12.370472577976523
2000-01-25,68.75,69.63,66.44,67.69,825300,3.1899999999999977,67.92,1.0600000000000023,-0.8100000000000023,67.6210950528193,63.557846776725086,6254886.829282928,3360140.0,80.0,80.0,39.81,39.81,54.99565217391305,54.99565217391305,12.380747791592276,12.380747791592276
2000-01-26,67.94,69.25,67.88,68.31,731300,1.3700000000000045,68.48,-0.37000000000000455,0.6200000000000045,67.7499307948964,63.92700826847071,5978707.487818781,3305034.782608696,80.0,80.0,39.81,39.81,55.278936170212766,55.278936170212766,12.398107479814495,12.398107479814495
2000-01-27,69.88,70.5,67.25,68.44,621300,3.25,68.73,1.4399999999999977,0.12999999999999545,67.89694117566194,64.2872326483354,5710837.113427842,3250274.4680851065,80.0,80.0,39.81,39.81,55.553124999999994,55.553124999999994,12.411452398935495,12.411452398935495
2000-01-28,69.5,69.5,67.44,68.06,1151100,2.0600000000000023,68.33333333333333,1.4399999999999977,-0.37999999999999545,67.96239999931264,64.59069019971025,5482850.257756449,3195504.1666666665,80.0,80.0,39.81,39.81,55.808367346938766,55.808367346938766,12.410782729009838,12.410782729009838
2000-01-31,67.56,67.63,64.75,66.19,744200,2.8799999999999955,66.19,1.3700000000000045,-1.8700000000000045,67.69653999941573,64.71063843473198,5245917.744868627,3153781.6326530613,80.0,80.0,39.81,39.81,56.01599999999999,56.01599999999999,12.37171903981011,12.37171903981011
